"VIAR","Sri Guru Ram Dass Jee International Airport","IN",756
"VOTV","Trivandrum International Airport","IN",15
"LLBG","Ben Gurion International Airport","IL",135
"LLOV","Ovda International Airport","IL",1492
"EICK","Cork Airport","IE",502
"EIDW","Dublin Airport","IE",242
"EINN","Shannon Airport","IE",46
"WAXX","Dominique Edward Osok Airport","ID",10
"WAAA","Hasanuddin International Airport","ID",47
"WARR","Juanda International Airport","ID",9
"WIMM","Kualanamu International Airport","ID",23
"WADD","Ngurah Rai (Bali) International Airport","ID",14
"WAJJ","Sentani International Airport","ID",289
"WIII","Soekarno-Hatta International Airport","ID",34
"ID-0017","Sungai Siring International Airport","ID",82
"LHBP","Budapest Liszt Ferenc International Airport","HU",495
"LDZA","Zagreb Airport","HR",353
"VHHH","Hong Kong International Airport","HK",28
"PGUM","Antonio B. Won Pat International Airport","GU",298
"MGGT","La Aurora Airport","GT",4952
"LGAV","Eleftherios Venizelos International Airport","GR",308
"LGIR","Heraklion International Nikos Kazantzakis Airport","GR",115
"LGTS","Thessaloniki Macedonia International Airport","GR",22
"TFFR","Pointe-à-Pitre Le Raizet","GP",36
"DGAA","Kotoka International Airport","GH",205
"UGTB","Tbilisi International Airport","GE",1624
"EGPD","Aberdeen Dyce Airport","GB",215
"EGAA","Belfast International Airport","GB",268
"EGBB","Birmingham International Airport","GB",327
"EGHH","Bournemouth Airport","GB",38
"EGGD","Bristol Airport","GB",622
"EGFF","Cardiff International Airport","GB",220
"EGNX","East Midlands Airport","GB",306
"EGPH","Edinburgh Airport","GB",135
"EGTE","Exeter International Airport","GB",102
"EGAC","George Best Belfast City Airport","GB",15
"EGPF","Glasgow International Airport","GB",26
"EGNM","Leeds Bradford Airport","GB",681
"EGGP","Liverpool John Lennon Airport","GB",80
"EGKK","London Gatwick Airport","GB",202
"EGLL","London Heathrow Airport","GB",83
"EGGW","London Luton Airport","GB",526
"EGSS","London Stansted Airport","GB",348
"EGCC","Manchester Airport","GB",257
"EGNT","Newcastle Airport","GB",266
"EGSH","Norwich International Airport","GB",117
"LCRA","RAF Akrotiri","GB",76
"EGVN","RAF Brize Norton","GB",288
"EGVA","RAF Fairford","GB",286
"EGUL","RAF Lakenheath","GB",32
"EGUN","RAF Mildenhall","GB",33
"EGCN","Robin Hood Doncaster Sheffield Airport","GB",55
"EGHI","Southampton Airport","GB",44
"LFOA","Avord (BA 702) Air Base","FR",580
"LFBD","Bordeaux-Mérignac Airport","FR",162
"LFPG","Charles de Gaulle International Airport","FR",392
"LFSB","EuroAirport Basel-Mulhouse-Freiburg Airport","FR",885
"LFLL","Lyon Saint-Exupéry Airport","FR",821
"LFML","Marseille Provence Airport","FR",74
"LFMN","Nice-Côte d'Azur Airport","FR",12
"LFPO","Paris-Orly Airport","FR",291
"LFBO","Toulouse-Blagnac Airport","FR",499
"EFHK","Helsinki Vantaa Airport","FI",179
"HAAB","Addis Ababa Bole International Airport","ET",7630
"LEMD","Adolfo Suárez Madrid–Barajas Airport","ES",1998
"LEAL","Alicante International Airport","ES",142
"LEBL","Barcelona International Airport","ES",12
"GCLP","Gran Canaria Airport","ES",78
"GCLA","La Palma Airport","ES",107
"LEMG","Málaga Airport","ES",53
"LEPA","Palma De Mallorca Airport","ES",27
"LEST","Santiago de Compostela Airport","ES",1213
"GCXO","Tenerife Norte Airport","ES",2076
"GCTS","Tenerife South Airport","ES",209
"HECA","Cairo International Airport","EG",382
"HEGN","Hurghada International Airport","EG",52
"HELX","Luxor International Airport","EG",294
"EETN","Lennart Meri Tallinn Airport","EE",131
"SELT","Cotopaxi International Airport","EC",9205
"SEQM","Mariscal Sucre International Airport","EC",7841
"DAAG","Houari Boumediene Airport","DZ",82
"MDSD","Las Américas International Airport","DO",59
"MDPC","Punta Cana International Airport","DO",47
"EKYT","Aalborg Airport","DK",10
"EKBI","Billund Airport","DK",247
"EKCH","Copenhagen Kastrup Airport","DK",17
"EDDB","Berlin-Schönefeld Airport","DE",157
"EDDT","Berlin-Tegel Airport","DE",122
"EDDW","Bremen Airport","DE",14
"EDDK","Cologne Bonn Airport","DE",302
"EDDL","Düsseldorf Airport","DE",147
"EDLW","Dortmund Airport","DE",425
"EDDC","Dresden Airport","DE",755
"EDDF","Frankfurt am Main Airport","DE",364
"EDDH","Hamburg Airport","DE",53
"EDDV","Hannover Airport","DE",183
"EDSB","Karlsruhe Baden-Baden Airport","DE",408
"EDDP","Leipzig/Halle Airport","DE",465
"EDDG","Münster Osnabrück Airport","DE",160
"EDDM","Munich Airport","DE",1487
"EDDN","Nuremberg Airport","DE",1046
"ETAR","Ramstein Air Base","DE",776
"EDDS","Stuttgart Airport","DE",1276
