”code”,”name”,”elevation_ft”,”iso_country”
”LJLJ”,”Ljubljana Jo≈æe Puƒçnik Airport”,1273,”SI”
”WSSS”,”Singapore Changi Airport”,22,”SG”
”ESGG”,”Gothenburg-Landvetter Airport”,506,”SE”
”ESPA”,”Lule√• Airport”,65,”SE”
”ESMS”,”Malm√∂ Sturup Airport”,236,”SE”
”ESSA”,”Stockholm-Arlanda Airport”,137,”SE”
”HSSS”,”Khartoum International Airport”,1265,”SD”
”FSIA”,”Seychelles International Airport”,10,”SC”
”OEDR”,”King Abdulaziz Air Base”,84,”SA”
”OEJN”,”King Abdulaziz International Airport”,48,”SA”
”OEDF”,”King Fahd International Airport”,72,”SA”
”OERK”,”King Khaled International Airport”,2049,”SA”
”OEMA”,”Prince Mohammad Bin Abdulaziz Airport”,2151,”SA”
”HRYR”,”Kigali International Airport”,4859,”RW”
”UWKG”,”Borisoglebskoye Airport”,213,”RU”
”UUDD”,”Domodedovo International Airport”,588,”RU”
”RU-0035”,”Grozny North Airport”,548,”RU”
”UWKD”,”Kazan International Airport”,411,”RU”
”UHHH”,”Khabarovsk-Novy Airport”,244,”RU”
”USSS”,”Koltsovo Airport”,764,”RU”
”UWWW”,”Kurumoch International Airport”,477,”RU”
”RU-0016”,”Lipetsk Air Base”,636,”RU”
”RU-4464”,”Olenya Air Base”,702,”RU”
”URRP”,”Platov International Airport”,213,”RU”
”ULLI”,”Pulkovo Airport”,78,”RU”
”UUEE”,”Sheremetyevo International Airport”,622,”RU”
”URSS”,”Sochi International Airport”,89,”RU”
”UNNT”,”Tolmachevo Airport”,365,”RU”
”UWUU”,”Ufa International Airport”,449,”RU”
”RU-2244”,”Ukrainka Air Base”,771,”RU”
”UUWW”,”Vnukovo International Airport”,685,”RU”
”UNKL”,”Yemelyanovo Airport”,942,”RU”
”UUBW”,”Zhukovsky International Airport”,377,”RU”
”LYBE”,”Belgrade Nikola Tesla Airport”,335,”RS”
”LROP”,”Henri CoandƒÉ International Airport”,314,”RO”
”QA-0001”,”Hamad International Airport”,13,”QA”
”LPFR”,”Faro Airport”,24,”PT”
”LPPR”,”Francisco de S√° Carneiro Airport”,228,”PT”
”LPPT”,”Humberto Delgado Airport (Lisbon Portela Airport)”,374,”PT”
”LPPD”,”Jo√£o Paulo II Airport”,259,”PT”
”LPLA”,”Lajes Airport”,180,”PT”
”TJSJ”,”Luis Munoz Marin International Airport”,9,”PR”
”EPWR”,”Copernicus Wroc≈Çaw Airport”,404,”PL”
”EPGD”,”Gda≈Ñsk Lech Wa≈Çƒôsa Airport”,489,”PL”
”EPKT”,”Katowice International Airport”,995,”PL”
”EPKK”,”Krak√≥w John Paul II International Airport”,791,”PL”
”EPMO”,”Modlin Airport”,341,”PL”
”EPPO”,”Pozna≈Ñ-≈Åawica Airport”,308,”PL”
”EPWA”,”Warsaw Chopin Airport”,362,”PL”
”PK-0001”,”New Islamabad International Airport”,1646,”PK”
”OPST”,”Sialkot Airport”,837,”PK”
”RPLC”,”Diosdado Macapagal International Airport”,484,”PH”
”RPMD”,”Francisco Bangoy International Airport”,96,”PH”
”PH-0001”,”Laguindingan Airport”,190,”PH”
”RPVM”,”Mactan Cebu International Airport”,31,”PH”
”RPLL”,”Ninoy Aquino International Airport”,75,”PH”
”PH-0073”,”Northern Cagayan International Airport”,,”PH”
”AYPY”,”Port Moresby Jacksons International Airport”,146,”PG”
”NTAA”,”Faa'a International Airport”,5,”PF”
”SPZO”,”Alejandro Velasco Astete International Airport”,10860,”PE”
”SPIM”,”Jorge Ch√°vez International Airport”,113,”PE”
”MPTO”,”Tocumen International Airport”,135,”PA”
”OM-0003”,”Duqm International Airport”,364,”OM”
”OOMS”,”Muscat International Airport”,48,”OM”
”OM-0004”,”Rustaq Airport”,349,”OM”
”NZAA”,”Auckland International Airport”,23,”NZ”
”NZCH”,”Christchurch International Airport”,123,”NZ”
”NZWN”,”Wellington International Airport”,41,”NZ”
”VNKT”,”Tribhuvan International Airport”,4390,”NP”
”ENBR”,”Bergen Airport Flesland”,170,”NO”
”ENBO”,”Bod√∏ Airport”,42,”NO”
”ENGM”,”Oslo Gardermoen Airport”,681,”NO”
”ENZV”,”Stavanger Airport Sola”,29,”NO”
”ENTC”,”Troms√∏ Airport”,31,”NO”
”ENVA”,”Trondheim Airport V√¶rnes”,56,”NO”
”EHAM”,”Amsterdam Airport Schiphol”,-11,”NL”
”EHEH”,”Eindhoven Airport”,74,”NL”
”DNAI”,”Akwa Ibom International Airport”,170,”NG”
”DNKN”,”Mallam Aminu International Airport”,1562,”NG”
”DNMM”,”Murtala Muhammed International Airport”,135,”NG”
”DNAA”,”Nnamdi Azikiwe International Airport”,1123,”NG”
”DRRN”,”Diori Hamani International Airport”,732,”NE”
”FYWH”,”Hosea Kutako International Airport”,5640,”NA”
”FQMA”,”Maputo Airport”,145,”MZ”
